product_id,product_name,category,cost_price,list_price,gross_margin,margin_pct
P001,Wireless Earbuds,Electronics,1350.97,1938.66,587.69,30.31
P002,Phone Case,Electronics,695.05,1190.27,495.22,41.61
P003,USB-C Hub,Electronics,1525.65,3581.28,2055.63,57.4
P004,Portable Charger,Electronics,1805.92,2748.09,942.17,34.28
P005,Bluetooth Speaker,Electronics,959.46,1383.27,423.81,30.64
P006,Laptop Stand,Electronics,593.55,1250.91,657.36,52.55
P007,Webcam,Electronics,247.76,415.83,168.07,40.42
P008,Mechanical Keyboard,Electronics,1369.79,2962.74,1592.95,53.77
P009,Cotton T-Shirt,Apparel,596.79,1327.84,731.05,55.06
P010,Denim Jacket,Apparel,1656.97,2334.83,677.86,29.03
P011,Running Shorts,Apparel,1650.47,3923.82,2273.35,57.94
P012,Hoodie,Apparel,812.45,1314.28,501.83,38.18
P013,Polo Shirt,Apparel,1922.98,3598.34,1675.36,46.56
P014,Formal Trousers,Apparel,366.94,563.4,196.46,34.87
P015,Sports Socks,Apparel,1725.49,3874.1,2148.61,55.46
P016,Cap,Apparel,1652.83,4002.53,2349.7,58.71
P017,Scented Candle,Home,1165.21,3218.73,2053.52,63.8
P018,Cushion Cover,Home,881.36,1915.07,1033.71,53.98
P019,Wall Clock,Home,1692.93,3836.06,2143.13,55.87
P020,Desk Organiser,Home,1751.07,3866.88,2115.81,54.72
P021,Ceramic Mug,Home,1468.23,2149.72,681.49,31.7
P022,Bamboo Cutting Board,Home,610.22,1101.53,491.31,44.6
P023,LED Fairy Lights,Home,343.63,593.07,249.44,42.06
P024,Photo Frame,Home,381.8,683.1,301.3,44.11
P025,Face Serum,Beauty,1344.23,2568.51,1224.28,47.66
P026,Moisturiser,Beauty,866.33,1466.97,600.64,40.94
P027,Lip Balm,Beauty,680.56,1845.21,1164.65,63.12
P028,Sunscreen SPF50,Beauty,1366.46,3078.34,1711.88,55.61
P029,Hair Mask,Beauty,508.05,1229.88,721.83,58.69
P030,Body Scrub,Beauty,494.12,954.26,460.14,48.22
P031,Eye Cream,Beauty,1981.14,4548.7,2567.56,56.45
P032,Toner,Beauty,1202.51,2836.07,1633.56,57.6
P033,Yoga Mat,Sports,1717.13,4269.47,2552.34,59.78
P034,Resistance Bands,Sports,612.29,884.72,272.43,30.79
P035,Water Bottle,Sports,767.82,1362.76,594.94,43.66
P036,Gym Gloves,Sports,579.77,1577.02,997.25,63.24
P037,Skipping Rope,Sports,1777.46,3271.5,1494.04,45.67
P038,Foam Roller,Sports,1379.79,2695.95,1316.16,48.82
P039,Protein Shaker,Sports,1846.19,3770.64,1924.45,51.04
P040,Ankle Support,Sports,676.78,1181.17,504.39,42.7
